iter	Passed	Remaining
850	7675	1343
851	7684	1334
852	7691	1325
853	7699	1316
854	7706	1306
855	7714	1297
856	7722	1288
857	7729	1279
858	7737	1270
859	7744	1260
860	7752	1251
861	7760	1242
862	7767	1233
863	7775	1223
864	7783	1214
865	7791	1205
866	7799	1196
867	7806	1187
868	7813	1177
869	7820	1168
870	7829	1159
871	7837	1150
872	7844	1141
873	7851	1131
874	7858	1122
875	7865	1113
876	7872	1104
877	7880	1094
878	7887	1085
879	7895	1076
880	7902	1067
881	7910	1058
882	7917	1049
883	7924	1039
884	7932	1030
885	7939	1021
886	7947	1012
887	7954	1003
888	7962	994
889	7969	985
890	7978	975
891	7985	966
892	7993	957
893	8000	948
894	8007	939
895	8014	930
896	8021	921
897	8029	912
898	8036	902
899	8044	893
900	8050	884
901	8059	875
902	8066	866
903	8074	857
904	8081	848
905	8088	839
906	8096	830
907	8102	820
908	8110	811
909	8117	802
910	8125	793
911	8132	784
912	8140	775
913	8148	766
914	8156	757
915	8163	748
916	8170	739
917	8178	730
918	8184	721
919	8193	712
920	8200	703
921	8208	694
922	8215	685
923	8223	676
924	8230	667
925	8238	658
926	8245	649
927	8254	640
928	8261	631
929	8268	622
930	8275	613
931	8282	604
932	8290	595
933	8297	586
934	8305	577
935	8312	568
936	8319	559
937	8326	550
938	8334	541
939	8341	532
940	8348	523
941	8356	514
942	8363	505
943	8371	496
944	8378	487
945	8385	478
946	8392	469
947	8400	460
948	8407	451
949	8414	442
950	8423	433
951	8430	425
952	8437	416
953	8444	407
954	8452	398
955	8459	389
956	8467	380
957	8474	371
958	8481	362
959	8488	353
960	8495	344
961	8503	335
962	8511	327
963	8518	318
964	8525	309
965	8532	300
966	8539	291
967	8546	282
968	8554	273
969	8561	264
970	8569	255
971	8576	247
972	8584	238
973	8591	229
974	8599	220
975	8606	211
976	8613	202
977	8620	193
978	8629	185
979	8636	176
980	8644	167
981	8653	158
982	8660	149
983	8667	140
984	8674	132
985	8682	123
986	8689	114
987	8698	105
988	8705	96
989	8713	88
990	8719	79
991	8728	70
992	8735	61
993	8743	52
994	8750	43
995	8757	35
996	8765	26
997	8771	17
998	8779	8
999	8787	0
